nom,marque,ref,url,composition,proteines,matieres_grasses,cellulose,cendres,humidite,calcium,phosphore,sodium
REAL NATURE WILDERNESS Mini Adult Green Coast canard au saumon et aux crevettes 1 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-mini-adult-green-coast-canard-au-saumon-et-aux-crevettes-1-kg-1083996008/,,,,,,,,,
REAL NATURE WILDERNESS Mini Rocky Hills Bœuf & Chèvre 1 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-mini-rocky-hills-buf--chvre-1-kg-1083996013/,,,,,,,,,
REAL NATURE WILDERNESS Senior Dark Fjord Cerf et saumon 4 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-senior-dark-fjord-cerf-et-saumon-4-kg-1322432/,,,,,,,,1.1,
REAL NATURE WILDERNESS Senior True Country Poulet au poisson 1 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-senior-true-country-poulet-au-poisson-1-kg-1083996007/,,,,,,,,,
REAL NATURE WILDERNESS True Country Adult Poulet au poisson 1 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-true-country-adult-poulet-au-poisson-1-kg-1083996002/,,,,,,,,,
REAL NATURE WILDERNESS Wide Savannah Sanglier avec agneau et canard 1 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-wide-savannah-sanglier-avec-agneau-et-canard-1-kg-1083996004/,,,,,,,,,
REAL NATURE WILDERNESS Wild Valley Cheval et bœuf 4 kg,,,https://www.maxizoo.fr/p/real-nature-wilderness-wild-valley-cheval-et-buf-4-kg-1083997005/,,,,,,,,,
ROYAL CANIN Club Special Performance Adulte CC Croquettes Chien 15 kg,,,https://www.maxizoo.fr/p/royal-canin-club-special-performance-adulte-cc-croquettes-chien-15-kg-1002565004/,,,,,,,,,
"ROYAL CANIN Giant Chiot Croquettes Chien 3,5 kg",,,https://www.maxizoo.fr/p/royal-canin-giant-chiot-croquettes-chien-35-kg-1278345/,,,,,,,,,
ROYAL CANIN Golden Retriever Chiot Croquettes Chien 3 kg,,,https://www.maxizoo.fr/p/royal-canin-golden-retriever-chiot-croquettes-chien-3-kg-1002892006/,,,,,,,,,
